Code,Name,Postcode,latitude,longitude,geocoded,hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges,node_size
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,TS24 9AH,54.702408,-1.227851,True,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,7,310,1844,2154,20,6.0536599324672355
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,PE3 9GZ,52.58394,-0.279371,True,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,6,193,5741,5934,55,6.032232587420592
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN1 5BD,52.236068,-0.883829,True,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9,2298,1686,3984,75,6.41774165855892
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,M6 8HD,53.487562,-2.323424,True,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0,439,9025,9464,61,6.077284953928919
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DN33 2BA,53.544883,-0.096293,True,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,5,950,24970,25920,71,6.170869341269387
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NE29 8NH,55.025248,-1.467353,True,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7,2112,7820,9932,38,6.383677674125794
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG7 2UH,52.94382,-1.185953,True,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,9,22280,2987,25267,149,10.077239169003605
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OX3 9DU,51.763867,-1.219773,True,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1,2167,1667,3834,117,6.393750357694729
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,M8 5RB,53.517898,-2.229499,True,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,0,17,558,575,6,6.0
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PO6 3LY,50.850287,-1.069917,True,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1,850,1149,1999,48,6.152555371144051
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,RG1 5AN,51.451023,-0.95931,True,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1,26,1412,1438,45,6.00164825731128
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,TR1 3LJ,50.266675,-5.091511,True,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,3,108,1620,1728,85,6.016665712814056
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,EX2 5DW,50.716692,-3.506694,True,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,3,1520,1287,2807,92,6.275258970983804
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NW3 2QG,51.553227,-0.165298,True,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,8,30496,5177,35673,111,11.58191495450123
RA2,ROYAL SURREY NHS FOUNDATION TRUST,GU2 7XX,51.241012,-0.607443,True,RA2,ROYAL SURREY NHS FOUNDATION TRUST,1,2188,4239,6427,63,6.39759629142105
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,BA1 3NG,51.391662,-2.391217,True,RD1,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,3,227,2825,3052,56,6.038459337263206
RNZ,SALISBURY NHS FOUNDATION TRUST,SP2 8BJ,51.04394,-1.789814,True,RNZ,SALISBURY NHS FOUNDATION TRUST,1,9037,627,9664,90,7.6519201053053285
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,B66 2QT,52.491258,-1.949846,True,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,4,189,11589,11778,30,6.031500028615579
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,S10 2TH,53.380617,-1.490628,True,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,10,8655,7260,15915,93,7.581960739426544
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,S5 7AU,53.409821,-1.455966,True,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,10,87382,4424,91806,159,22.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NG17 4JL,53.134573,-1.233579,True,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9,584,13459,14043,79,6.103840210610657
RH5,SOMERSET NHS FOUNDATION TRUST,TA1 5DA,51.011569,-3.121702,True,RH5,SOMERSET NHS FOUNDATION TRUST,3,1095,2006,3101,60,6.197424597951125
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,TS4 3BW,54.551768,-1.21482,True,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7,3717,1338,5055,71,6.67761689463744
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,54.902214,-1.410327,True,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,7,1594,2314,3908,29,6.288811308876553
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,CV34 5BW,52.289965,-1.583203,True,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,11,8725,13810,22535,105,7.594780518514279
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,PR8 6PN,53.63357,-2.978821,True,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,0,184,652,836,17,6.030584330109312
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW17 0QT,51.426682,-0.175694,True,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1,12993,13594,26587,86,8.37642076346363
RWJ,STOCKPORT NHS FOUNDATION TRUST,SK2 7JE,53.383794,-2.132019,True,RWJ,STOCKPORT NHS FOUNDATION TRUST,0,2431,3226,5657,49,6.442099238825617
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,RH1 5RH,51.219192,-0.161983,True,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1,502,3154,3656,66,6.088822755107881
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,OL6 9RW,53.491546,-2.071432,True,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,0,614,6096,6710,13,6.109334401648257
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,DY1 2HQ,52.501908,-2.117684,True,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,4,799,6919,7718,39,6.143215246380129
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB8 3NN,51.526078,-0.461155,True,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,2,604,6210,6814,42,6.107503004635723
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NE7 7DN,55.002783,-1.593393,True,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,7,16329,12969,29298,83,8.987374806844846
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,CM20 1QX,51.771322,0.087315,True,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,6,136,2619,2755,39,6.02179362444915
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",PE30 4ET,52.75663,0.446694,True,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6,221,3122,3343,34,6.037360499055686
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,S60 2UD,53.413991,-1.342881,True,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,10,993,13509,14502,38,6.178744348423281
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,WV10 0QP,52.599738,-2.095549,True,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,4,6529,6071,12600,63,7.192605734561895
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SY3 8XQ,52.709274,-2.793689,True,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,4,400,5583,5983,66,6.070142505580038
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TQ2 7AA,50.482303,-3.553819,True,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,3,70,796,866,43,6.009706404166428
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,LN2 5QY,53.233597,-0.519635,True,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,9,713,7450,8163,103,6.12746523207234
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW1 2PG,51.525737,-0.137384,True,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,8,1482,9403,10885,119,6.268299662336176
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SO16 6YD,50.933011,-1.435095,True,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1,2587,5142,7729,79,6.470669032221141
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,B15 2GW,52.451833,-1.942563,True,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4,41394,5928,47322,166,13.577771418760374
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,BS1 3NU,51.459476,-2.593021,True,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3,1977,6776,8753,75,6.35895381445659
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,CV2 2DX,52.421229,-1.438395,True,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11,28501,8939,37440,146,11.216551250500773
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,50.721977,-1.97311,True,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1,624,1272,1896,53,6.111165798660791
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,DE22 3NE,52.910425,-1.513523,True,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,9,744,4060,4804,74,6.133142562811194
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE1 5WW,52.6268,-1.135953,True,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,9,1583,2923,4506,104,6.286796772162766
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,LA9 7RG,54.306116,-2.731605,True,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0,354,2816,3170,36,6.061718079322383
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ST4 6QG,53.003262,-2.211798,True,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,4,3803,2453,6256,119,6.6933669089452295
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PL6 8DH,50.416707,-4.113712,True,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,3,1582,1090,2672,79,6.286613632461512
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,BN11 2DH,50.816683,-0.363404,True,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2,695,2643,3338,79,6.12416871744978
RBK,WALSALL HEALTHCARE NHS TRUST,WS2 9PS,52.582346,-1.998918,True,RBK,WALSALL HEALTHCARE NHS TRUST,4,2223,6546,8769,49,6.404006180964918
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,WA5 1QG,53.393989,-2.610717,True,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,0,41,1158,1199,19,6.00439535283008
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WD18 0HB,51.648926,-0.404165,True,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,2,242,6054,6296,50,6.0412064327820065
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,IP33 2QZ,52.231679,0.709205,True,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,6,676,6944,7620,48,6.120689063125965
RKE,WHITTINGTON HEALTH NHS TRUST,N19 5NF,51.566482,-0.139066,True,RKE,THE WHITTINGTON HEALTH NHS TRUST,8,13759,1223,14982,61,8.516705774623706
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE,53.36964,-3.096815,True,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,0,198,1031,1229,31,6.033148285926859
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR5 1DD,52.191205,-2.181154,True,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,4,1312,5938,7250,65,6.237165913123104
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",WN1 2NN,53.557755,-2.629091,True,RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0,203,2109,2312,28,6.034063984433125
RLQ,WYE VALLEY NHS TRUST,HR1 2ER,52.058529,-2.707776,True,RLQ,WYE VALLEY NHS TRUST,4,216,3616,3832,35,6.036444800549419
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA21 4AT,50.944835,-2.634713,True,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3,125,1369,1494,15,6.019779087735363
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YO31 8HE,53.96897,-1.084294,True,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5,537,10926,11463,62,6.095232644651748
