"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RYF","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","EX2 7HY","","912","DEVON COUNTY COUNCIL","QJK","NHS DEVON INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RVY","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","NHS TRUST","","PR8 6PN","41129124","317","SEFTON METROPOLITAN BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SW17 0QT","100023321192","712","LONDON BOROUGH OF WANDSWORTH","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"R1E","STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST","NHS TRUST","","ST5 1QG","","413","STAFFORDSHIRE COUNTY COUNCIL","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RWJ","STOCKPORT NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","SK2 7JE","100012482999","310","STOCKPORT METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","KT22 7AD","100062604307","805","SURREY COUNTY COUNCIL","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST","NHS TRUST","","RH1 5RH","","805","SURREY COUNTY COUNCIL","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BN2 3EW","22088627","816","BRIGHTON AND HOVE CITY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","BN13 3EP","200004018207","807","WEST SUSSEX COUNTY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RMP","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","OL6 9RW","100012485136","311","TAMESIDE METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RBA","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","TA1 5DA","10008800708","905","SOMERSET COUNCIL","QSL","NHS SOMERSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NW3 5BA","5023739","702","LONDON BOROUGH OF CAMDEN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DL2 2TS","10003082063","117","DARLINGTON BOROUGH COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RBV","THE CHRISTIE NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","M20 4BX","10012203949","306","MANCHESTER CITY COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CH63 4JY","42025551","319","WIRRAL BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DY1 2HQ","90158581","408","DUDLEY METROPOLITAN BOROUGH COUNCIL","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","UB8 3NN","100023422886","727","LONDON BOROUGH OF HILLINGDON","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","NE7 7DN","4510115978","107","NEWCASTLE CITY COUNCIL","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","A","NORTH EAST GOVERNMENT OFFICE REGION"
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","NHS TRUST","","CM20 1QX","10003715440","620","ESSEX COUNTY COUNCIL","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","PE30 4ET","100091527170","607","NORFOLK COUNTY COUNCIL","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RL1","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","SY10 7AG","10007017488","417","SHROPSHIRE COUNCIL","QOC","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","S60 2UD","200000582870","206","ROTHERHAM METROPOLITAN BOROUGH COUNCIL","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BH7 7DW","100041110435","738","BCP COUNCIL","QVV","NHS DORSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SW3 6JJ","217032983","707","ROYAL BOROUGH OF KENSINGTON AND CHELSEA","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RRJ","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B31 2AP","10024329781","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST","NHS TRUST","HOSPICE","WV10 0QP","100071556759","412","CITY OF WOLVERHAMPTON COUNCIL","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RXW","THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","NHS TRUST","HOSPICE","SY3 8XQ","100071579721","417","SHROPSHIRE COUNCIL","QOC","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RET","THE WALTON CENTRE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","L9 7LJ","38095813","316","LIVERPOOL CITY COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","TQ2 7AA","10000009565","914","TORBAY COUNCIL","QJK","NHS DEVON INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RWD","UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST","NHS TRUST","","LN2 5QY","235033632","503","LINCOLNSHIRE COUNTY COUNCIL","QJM","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NW1 2PG","5145465","702","LONDON BOROUGH OF CAMDEN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RM2","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","M23 9LT","77239155","306","MANCHESTER CITY COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SO16 6YD","100062509013","814","SOUTHAMPTON CITY COUNCIL","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","B15 2GW","10096675521","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","BS1 3NU","344118","909","BRISTOL CITY COUNCIL","QUY","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","NHS TRUST","","CV2 2DX","10023034079","407","COVENTRY CITY COUNCIL","QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","BH15 2JB","100041056131","738","BCP COUNCIL","QVV","NHS DORSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RTG","UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DE22 3NE","100032007024","507","DERBY CITY COUNCIL","QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","NHS TRUST","","LE1 5WW","2465055933","509","LEICESTER CITY COUNCIL","QK1","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","LA9 7RG","100110697481","W8X1Q","WESTMORLAND AND FURNESS COUNCIL","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","NHS TRUST","HOSPICE|MEDICINE SUPPLIER","ST4 6QG","3455114370","414","STOKE-ON-TRENT CITY COUNCIL","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","NHS TRUST","HOSPICE","PL6 8DH","100041168060","913","PLYMOUTH CITY COUNCIL","QJK","NHS DEVON INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RYR","UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","BN11 2DH","100062227731","807","WEST SUSSEX COUNTY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RQF","VELINDRE NHS TRUST","NHS TRUST","HOSPICE","CF15 7QZ","10001301180","040","RHONDDA, CYNON, TAFF UA","","","","","W","WALES GOVERNMENT OFFICE REGION"
"RBK","WALSALL HEALTHCARE NHS TRUST","NHS TRUST","","WS2 9PS","200003322598","411","WALSALL METROPOLITAN BOROUGH COUNCIL","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RWW","WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","WA5 1QG","100012381076","322","WARRINGTON BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RT4","WELSH AMBULANCE SERVICES NHS TRUST","NHS TRUST","","LL17 0LJ","200004299446","018","DENBIGHSHIRE UA","","","","","W","WALES GOVERNMENT OFFICE REGION"
"RWG","WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST","NHS TRUST","MEDICINE SUPPLIER","WD18 0HB","200000926905","606","HERTFORDSHIRE COUNTY COUNCIL","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RKL","WEST LONDON NHS TRUST","NHS TRUST","","UB2 4SD","12152819","722","LONDON BOROUGH OF EALING","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RFW","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","NHS TRUST","HOSPICE","TW7 6AF","100023406558","728","LONDON BOROUGH OF HOUNSLOW","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RYA","WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DY5 1LX","90161270","408","DUDLEY METROPOLITAN BOROUGH COUNCIL","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","IP33 2QZ","100091504760","609","SUFFOLK COUNTY COUNCIL","QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RA3","WESTON AREA HEALTH NHS TRUST","NHS TRUST","","BS23 4TQ","24004162","910","NORTH SOMERSET COUNCIL","QUY","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RKE","WHITTINGTON HEALTH NHS TRUST","NHS TRUST","HOSPICE","N19 5NF","10090262687","706","LONDON BOROUGH OF ISLINGTON","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RN1","WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST","NHS TRUST","","SO22 5DG","100062519769","812","HAMPSHIRE COUNTY COUNCIL","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RY7","WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","CH42 0LQ","","319","WIRRAL BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST|MEDICINE SUPPLIER","CH49 5PE","42158420","319","WIRRAL BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","NHS TRUST","","WR5 1DD","10000854326","416","WORCESTERSHIRE COUNTY COUNCIL","QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RRF","WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","WN1 2NN","100012895824","313","WIGAN METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RLQ","WYE VALLEY NHS TRUST","NHS TRUST","HOSPICE","HR1 2ER","200002588115","415","HEREFORDSHIRE COUNCIL","QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RA4","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","BA21 4AT","30025212","905","SOMERSET COUNCIL","QSL","NHS SOMERSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","YO31 8HE","100052169265","219","CITY OF YORK COUNCIL","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST","NHS TRUST","","WF2 0XQ","63178340","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
